,uid,info,stars,categ,bt_coin,bt_days,bt_l_adg,bt_s_adg,long,l_AU,l_gspan,l_TP,short,s_AU,s_gspan,s_TP
250,c74fb,/flyingtoaster/1m/test_phase/0.2_mediumrisk/MATICUSDT_20220814082811_1a832,6.0,flyingtoaster,MATICUSDT,649,0.455,0.128,True,True,25.0,0.21% /0.03%/,True,True,34.0,0.3% /0.2%/
101,f88ee,/flyingtoaster/1m/5.7.0/MANAUSDT_20220713182404_b9c8f,4.0,flyingtoaster,MANAUSDT,482,0.454,0.43,True,False,12.0,0.2% /0.27%/,True,False,10.0,0.32% /0.23%/
364,4fd83,/flyingtoaster/1s/0.1.5_40%grid_1sdata_auenabled_longshort/SOLUSDT_20220901213214_31214,7.0,flyingtoaster,SOLUSDT,696,0.453,0.119,True,True,40.0,0.3% /0.2%/,True,True,43.0,0.3% /0.2%/
81,0840c,/flyingtoaster/1m/mdcl_hardcore_scalp/CTSIUSDT_20220818203915_b4260,4.0,flyingtoaster,CTSIUSDT,280,0.45,0.57,True,True,11.0,0.3% /0.13%/,True,True,11.0,0.3% /0.2%/
147,8a161,/flyingtoaster/1m/audisabled/1.7/MATICUSDT_20220726144831_522de,6.0,flyingtoaster,MATICUSDT,640,0.448,0.187,True,False,24.0,0.2% /2.03%/,True,False,49.0,0.82% /2.48%/
208,b985e,/flyingtoaster/1m/test_phase/tight_02_auenabled/CHZUSDT_20220818034828_7800f,5.0,flyingtoaster,CHZUSDT,558,0.447,0.302,True,True,17.0,0.3% /0.03%/,True,True,26.0,0.3% /0.18%/
188,5e932,/flyingtoaster/1m/audisabled/1.5/NEARUSDT_20220723093109_e541e,6.0,flyingtoaster,NEARUSDT,645,0.443,0.242,True,False,15.0,0.2% /1.22%/,True,False,34.0,0.97% /2.73%/
249,0c59c,/flyingtoaster/1m/test_phase/0.1.1_auenabled_short/WAVESUSDT_20220803020858_d35d9,7.0,flyingtoaster,WAVESUSDT,718,0.443,0.0668,True,False,29.0,0.2% /0.3%/,True,True,49.0,0.2% /0.3%/
131,86273,/flyingtoaster/1m/5.7.0/HNTUSDT_20220719121510_7aed7,5.0,flyingtoaster,HNTUSDT,650,0.442,0.26,True,False,14.0,0.2% /0.2%/,True,False,16.0,0.3% /0.01%/
197,91a4e,/flyingtoaster/1m/test_phase/0.1.3_widegrid_auenabled_longshort/MATICUSDT_20220808181521_1a897,6.0,flyingtoaster,MATICUSDT,649,0.44,0.123,True,True,20.0,0.28% /0.12%/,True,True,42.0,0.29% /0.2%/
174,fd8e3,/flyingtoaster/1m/audisabled/1.4/SOLUSDT_20220721074803_ad155,6.0,flyingtoaster,SOLUSDT,664,0.438,0.158,True,False,14.0,0.2% /0.2%/,True,False,53.0,0.99% /3.0%/
430,43ee4,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/SOLUSDT_20220825174433_b9737,8.0,flyingtoaster,SOLUSDT,696,0.436,0.126,True,True,49.0,0.2% /0.3%/,True,True,55.0,0.2% /0.28%/
179,301f1,/flyingtoaster/1m/audisabled/1.4/HNTUSDT_20220721074803_ad155,6.0,flyingtoaster,HNTUSDT,650,0.431,0.22,True,False,14.0,0.2% /0.09%/,True,False,55.0,0.96% /2.9%/
90,36aa2,/flyingtoaster/1m/5.7.0/SANDUSDT_20220715022104_72ba6,6.0,flyingtoaster,SANDUSDT,531,0.424,0.189,True,False,37.0,0.2% /2.36%/,True,False,35.0,0.76% /1.32%/
60,c5d1e,/flyingtoaster/1m/mdcl_hardcore_scalp/MANAUSDT_20220818203915_b4260,4.0,flyingtoaster,MANAUSDT,505,0.422,0.482,True,True,13.0,0.3% /0.19%/,True,True,10.0,0.3% /0.19%/
78,8a756,/flyingtoaster/1m/mdcl_hardcore_scalp/ENJUSDT_20220818203915_b4260,5.0,flyingtoaster,ENJUSDT,672,0.422,0.202,True,True,10.0,0.3% /0.2%/,True,True,17.0,0.3% /0.19%/
135,ae67f,/flyingtoaster/1m/audisabled/1.7/SOLUSDT_20220726144831_522de,6.0,flyingtoaster,SOLUSDT,678,0.422,0.176,True,False,16.0,0.2% /1.39%/,True,False,45.0,0.82% /2.65%/
191,1bcb7,/flyingtoaster/1m/audisabled/1.5/SANDUSDT_20220723093109_e541e,6.0,flyingtoaster,SANDUSDT,543,0.417,0.223,True,False,38.0,0.2% /2.86%/,True,False,36.0,0.96% /0.79%/
334,dfc6a,/flyingtoaster/1m/0.1_auenabled_short/SANDUSDT_20220731004348_49308,6.0,flyingtoaster,SANDUSDT,545,0.417,0.161,True,False,32.0,0.2% /0.23%/,True,True,40.0,0.2% /0.0%/
231,67ee1,/flyingtoaster/1m/test_phase/harcore_scalp_0.1/MANAUSDT_20220811094442_bb7b5,4.0,flyingtoaster,MANAUSDT,505,0.415,0.5,True,True,11.0,0.3% /0.16%/,True,True,10.0,0.3% /0.19%/
126,d641a,/flyingtoaster/1m/5.7.0/MATICUSDT_20220713075744_02a71,6.0,flyingtoaster,MATICUSDT,626,0.407,0.145,True,False,22.0,0.2% /2.36%/,True,False,49.0,0.9% /2.77%/
