,conf,bulk,categ,balance,op_coin,bt_coin,days,end,long,l_gridspan,l_we,l_adg,l_gain,l_bkrupt,short,s_gridspan,s_we,s_adg,s_gain,s_bkrupt
33,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/LINKUSDT_20220713182404_b9c8f/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/LINKUSDT_20220713182404_b9c8f/bulk_opt.hjson),xx_trash,1500,9,LINKUSDT,905,2022/07/11,True,40%,1.0,0.181%,371.4%,99.95%,True,24%,0.1,0.016%,15.65%,100.0%
72,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220713182404_b9c8f/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SANDUSDT_20220713182404_b9c8f/bulk_opt.hjson),xx_trash,1500,9,SANDUSDT,531,2022/07/11,True,39%,1.0,0.417%,736.7%,99.97%,True,36%,0.1,0.0275%,15.81%,100.0%
32,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ENJUSDT_20220713182404_b9c8f/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ENJUSDT_20220713182404_b9c8f/bulk_opt.hjson),xx_trash,1500,9,ENJUSDT,649,2022/07/11,True,34%,1.0,0.416%,1197.0%,99.97%,True,27%,0.1,0.0274%,19.58%,100.0%
55,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220713182404_b9c8f/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/DOTUSDT_20220713182404_b9c8f/bulk_opt.hjson),xx_trash,1500,9,DOTUSDT,687,2022/07/11,True,32%,1.0,0.227%,353.8%,99.88%,True,20%,0.1,0.0142%,10.34%,100.0%
44,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ADAUSDT_20220713182404_b9c8f/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/ADAUSDT_20220713182404_b9c8f/bulk_opt.hjson),xx_trash,1500,9,ADAUSDT,891,2022/07/11,True,30%,1.0,0.2%,471.8%,99.97%,True,27%,0.1,0.0133%,12.62%,100.0%
50,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MATICUSDT_20220713182404_b9c8f/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MATICUSDT_20220713182404_b9c8f/bulk_opt.hjson),xx_trash,1500,9,MATICUSDT,626,2022/07/11,True,23%,1.0,0.49%,1821.0%,99.79%,True,48%,0.1,0.0239%,16.17%,100.0%
31,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SOLUSDT_20220713182404_b9c8f/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/SOLUSDT_20220713182404_b9c8f/bulk_opt.hjson),xx_trash,1500,9,SOLUSDT,664,2022/07/11,True,16%,1.0,0.476%,2141.0%,99.85%,True,43%,0.1,0.032%,11.57%,82.7%
54,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/XMRUSDT_20220717071307_ad2c7/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/XMRUSDT_20220717071307_ad2c7/bulk_opt.hjson),xx_trash,1500,9,XMRUSDT,888,2022/07/11,True,14%,1.0,0.257%,632.7%,99.56%,True,13%,0.1,0.0208%,21.05%,100.0%
42,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MATICUSDT_20220718170718_17e47/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MATICUSDT_20220718170718_17e47/bulk_opt.hjson),xx_trash,1500,9,MATICUSDT,626,2022/07/11,True,12%,1.0,0.733%,5021.0%,99.94%,True,18%,0.1,0.0215%,15.01%,100.0%
45,[conf](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MANAUSDT_20220713182404_b9c8f/config.json),[bulk](https://github.com/tedyptedto/pbos/blob/main//xx_trash/flyingtoaster/passivbot_v5.7.1-main/configs/live/PBSO/5.7.0/MANAUSDT_20220713182404_b9c8f/bulk_opt.hjson),xx_trash,1500,9,MANAUSDT,482,2022/07/11,True,12%,1.0,0.454%,826.6%,99.98%,True,10%,0.1,0.0434%,23.89%,100.0%
